id,latitude,longitude,name,address,zip,city,state
461,46.9470671,7.3957642,Bethlehemstrasse Säge,Untermattweg 80,3027,Bern,Active
462,46.9558281,7.4529965,Spitalacker Schulhaus,Beundenfeldstrasse 13,3013,Bern,Active
463,46.95935191,7.451803959,Allmendstrasse,Allmendstrasse 24,3014,Bern,Active
464,46.9523817,7.391490418,Melchiorstrasse,Kasparstrasse 15a,3027,Bern,Active
465,46.94695237,7.388948059,Fellerstrasse,Fellerstrasse 30,3027,Bern,Active
466,46.94862444,7.382751718,Holenacker Station,Bethlehem b. Bern Holenacker,3027,Bern,Active
467,46.93992558,7.395033629,Kirche St. Antonius,Morgenstrasse 56,3018,Bern,Active
468,46.94730845562206,7.393210711796317,Waldmannstrasse,Waldmannstrasse 5,3027,Bern,Active
469,46.9450382,7.3791687,Riedbachstrasse Park,Riedbachstrasse 77,3027,Bern,Active
470,46.94382523,7.395580147,Schwabstrasse Kreisel,Keltenstrasse 41,3018,Bern,Active
471,46.94775068,7.403570588,Weyermannshaus Bad,Stöckackerstrasse 9,3027,Bern,Active
472,46.9477995,7.454056,Junkerngasse,Junkerngasse 30,3011,Bern,Active
473,46.9491966,7.445947,Predigergasse,Predigergasse 6,3011,Bern,Active
474,46.95011084,7.428371524,Depotstrasse,Depotstrasse 2,3012,Bern,Active
475,46.94753415,7.452127159,Münster,Münstergasse 2,3011,Bern,Active
476,46.9459831,7.4394178,Kleine Schanze,Schwanengasse 14,3011,Bern,Active
477,46.96169178,7.4396146,Innere Enge,Engestrasse 54a,3012,Bern,Active
478,46.94069564,7.4431498,Dampfzentrale,Marzilistrasse 45,3005,Bern,Active
479,46.9581458,7.4349895,Neufeldstrasse Ost,Neufeldstrasse 129,3012,Bern,Active
480,46.93711438,7.432239188,Beaumont,Seftigenstrasse 41,3007,Bern,Active
481,46.93202634,7.433046388,Zieglerspital,Heckenweg 63,3007,Bern,Active
482,46.9364423,7.437876,Friedheimweg SECO,Friedheimweg 9f,3007,Bern,Active
483,46.93909408,7.428639018,Beaumontweg,Schwarzenburgstrasse 21,3007,Bern,Active
484,46.9456022,7.434734,Seilerstrasse,Seilerstrasse 22,3011,Bern,Active
485,46.9432858,7.4144036,Stämpflistrasse,Stoosstrasse 2,3008,Bern,Active
486,46.9503044,7.4145806,Sanpol Bern,Murtenstrasse 111,3008,Bern,Active
491,46.96503887,7.451463218,Wylerbad,Scheibenstrasse 65c,3014,Bern,Active
497,46.9579458,7.4537747,Breitenrainplatz,Moserstrasse 33,3013,Bern,Active
511,46.974841,7.453275,Spital Tiefenau,Tiefenaustrasse 110,3004,Bern,Active
545,46.94354067,7.463291318,Egelsee,Ensingerstrasse 3,3006,Bern,Active
546,46.93946484,7.469728318,Elfenauweg,Elfenauweg 6a,3006,Bern,Active
547,46.94235567,7.452776659,Luisenstrasse,Luisenstrasse 18,3005,Bern,Active
548,46.944243,7.399437,Stöckacker Migros,Bethlehemstrasse 106,3018,Bern,Active
549,46.951735,7.416496,Forsthaus KVA / TBA,Murtenstrasse 98,3008,Bern,Active
550,46.958014,7.444949,Quartiergasse,Quartiergasse 31,3013,Bern,Active
551,46.9573541,7.4514383,Breitenrainstrasse,Spitalackerstrasse 74,3013,Bern,Active
552,46.95270384,7.454583318,Salem-Spital,Schänzlistrasse 33,3013,Bern,Active
553,46.94467667,7.422303636,Loryplatz,Könizstrasse 6,3008,Bern,Active
554,46.95251262,7.467395977,Ostermundigerstrasse,Ostermundigenstrasse 36,3006,Bern,Active
555,46.9465,7.455038,Mühlenplatz,Schifflaube 1,3011,Bern,Active
589,46.94279238,7.387075559,Brünnenstrasse,Brünnenstrasse 80,3018,Bern,Active
590,46.94654937,7.4207821,Insel West,Friedbühlstrasse 52,3008,Bern,Active
591,46.94756316,7.426697856,Insel Haupteingang,Freiburgstrasse 15,3008,Bern,Active
592,46.93718525,7.4393989,Landoltstrasse,Bürenstrasse 1,3007,Bern,Active
593,46.97293,7.450856,Tiefenau Bahnhof,Tiefenaustrasse 109,3004,Bern,Active
594,46.9644796,7.466948,Wankdorf Sporthalle,Papiermühlestrasse 91,3014,Bern,Active
595,46.94018262,7.453042118,Jubiläumsplatz,Jubiläumsplatz 2,3005,Bern,Active
596,46.9446088,7.4290739,Schwarztorstrasse,Schwarztorstrasse 71,3007,Bern,Active
597,46.94138584,7.448789,Museen Bernastrasse,Bernastrasse 23,3005,Bern,Active
602,47.000176,7.461966,Zollikofen Bahnhof,Bernstrasse 189,3052,Zollikofen,Active
616,46.975958,7.472646,Bundesamt für Energie,Mühlestrasse 4,3063,Ittigen,Active
648,46.949233,7.436822,Open 07:00 - 18:00 In der Velostation Schanzenbrücke,Velostation Parkterrasse,3012,Bern,Active
663,46.951897864484735,7.442042659901252,Kleeplatz / Bollwerk,Bollwerk 41,3011,Bern,Active
665,46.92962527658024,7.4209414544658925,Liebefeld Park,Bündenackerstrasse 1,3098,Köniz,Active
666,46.99731643,7.4587974,Ziegelei Märit,Märitgasse 1,3052,Zollikofen,Active
667,46.99997377,7.442085418,Geisshubel Zollikofen,Im Kläyhof 2,3052,Zollikofen,Active
668,46.9337041,7.423410469,Jägerweg,Schwarzenburgstrasse 105,3097,Köniz,Active
669,46.99209374,7.4573388,Unterzollikofen Bahnhof,Bernstrasse 90d,3052,Zollikofen,Active
670,46.9313589644514,7.446041234885444,Sandrain,Seftigenstrasse 186a,3098,Köniz,Active
671,46.92898585565497,7.450277590824284,Wabern Zentrum,Waldblickstrasse 8,3084,Köniz,Active
673,46.93167482551549,7.485391308590751,Sternen Muri,Thunstrasse 74a,3074,Muri,Active
674,46.93358371,7.505070164,Bahnhof Gümligen,Worbstrasse 210,3074,Muri,Active
675,46.95906857,7.47775778,Station ausser Betrieb wegen technischen Problemen: Burgfeld,Mittelholzerstrasse 30,3006,Bern,Active
